Code,Title,Credits,Description,Prerequisites,Exclusions,Discipline,Level,Type,Category,Comments
MATH 100,Calculus I,0.5,"Review of analytic geometry; functions and graphs; limits; derivatives; techniques and applications of differentiation; antiderivatives; the definite integral and area; logarithmic and exponential functions; trigonometric functions; Newton's, Simpson's and trapezoidal methods; l'Hopital's rule.","One of MATH 120 with a minimum grade of C+, Pre- Calculus 12 with a minimum grade of B (73%), Principles of Mathematics 12 with a minimum grade of B (73%); or",NA,MATH,1,R,MT,NA
MATH 101,Calculus II,0.5,Volumes; arc length and surface area; techniques of integration with applications; polar coordinates and area; Taylor's formula; improper integrals; series and tests for convergence; power series and Taylor series; complex numbers.,MATH 100 or MATH 109; or,NA,MATH,1,R,MT,NA
MATH 122,Logic and Foundations,0.5,"Logic and quantifiers, basic set theory, mathematical induction and recursive definitions, divide and conquer recurrence relations, properties of integers, counting, functions and relations, countable and uncountable sets, asymptotic notation.","One of MATH 100, MATH 102, MATH 109, MATH 151; or",NA,MATH,1,R,MT,NA
CSC 110,Fundamentals of Programming I,0.5,"Introduction to designing, implementing, and understanding computer programs using an object-oriented programming language. Topics include an introduction to computing and problem solving, selection and iteration, arrays and collections, objects and classes, top-down design and incremental development.","One of Foundations of Math 12, Mathematics 12, Pre-Calculus 12, MATH 100, MATH 102, MATH 109, MATH 120.",NA,COMP,1,R,CS,NA
MATH 200,Calculus III,0.5,Vectors and vector functions; solid analytic geometry; partial differentiation; directional derivatives and the gradient vector; Lagrange multipliers; multiple integration with applications; cylindrical and spherical coordinates; change of variables; surface area; introduction to line and surface integrals.,MATH 101.,NA,MATH,2,R,MT,NA
MATH 204,Calculus IV,0.5,"Vector fields; div, grad and curl operators; line integrals; Green's Theorem; surface integrals; flux; Divergence Theorem; Stokes' Theorem; multivariate Taylor series; Fourier series; first and second order differential equations with applications; variation of parameters; reduction of order; power series solutions about ordinary points; Laplace transform.",MATH 200 or MATH 205.,NA,MATH,2,R,MT,NA
MATH 211,Matrix Algebra I,0.5,"Matrices: simultaneous equations; determinants; vectors in 2-, 3- and n-tuple space; inner product; linear independence and rank; change of coordinates; rotation of axes in 2- and 3-dimensional Euclidean space; orthogonal matrices; eigenvalues and eigenvectors.","One of Principles of Mathematics 12 with a minimum grade of A (86%), Pre-Calculus 12 with a minimum grade of A (86%), MATH 100, MATH 102, MATH 109, MATH 120 with a minimum grade of A, MATH 122 with a minimum grade of A, MATH 151 with a minimum grade of A; or",NA,MATH,2,R,MT,NA
MAT 236,Introduction to Real Analysis,0.5,"Axiomatic and metric properties of the real numbers. Sequences and limits. Completeness, compactness, Bolzano-Weierstrass and Heine-Borel theorems. Infinite series. Continuous and uniformly continuous functions.",MATH 101 and MATH 122,NA,MATH,2,R,MT,NA
MATH 248,Computer Assisted Mathematics and Physics,0.5,"Use of a high-level computer language for mathematical and scientific experimentation, simulation, and calculation. Programming of mathematics using available functions and routines and also writing short programs for symbolic and numerical computations, visualization, graphical output, and data management. The goal is to become competent with a high-level mathematics language and to practice programming in such a language. Emphasis on hands-on coding for experimentation in a variety of mathematical and physical contexts.",MATH 110 or MATH 211; and MATH 200; and CSC 110 or CSC 111.,NA,MATH,2,R,"MT, CS",NA
STAT 260,Introduction to Probability and Statistics I,0.5,"Descriptive statistics; elementary probability theory; random variables, discrete and continuous probability distributions, expectation, joint, marginal and conditional distributions; linear functions of random variables; random sampling and sampling distributions; point and interval estimation; classical hypothesis testing and significance testing. The mathematical foundations of statistical inference will be introduced and illustrated with examples from a variety of disciplines.","One of MATH 101, MATH 103, MATH 140, MATH 208.",NA,STAT,2,R,"PT, ST",NA
