Code,Title,Credits,Description,Prerequisites,Exclusions,Discipline,Level,Type,Category,Comments
MATH 1X0,Calculus for Math and Stats I,0.5,"Algebraic, geometric and numeric approaches to calculus, development of mathematical thinking, intuition and theoretical foundations. Functions: limits, continuity, derivatives, applications. Antiderivative, definite integral, integration techniques.",Registration in Math and Stats I,Registration in Math and Stats I,MATH,1.0,R,MT,One of the following courses: MATH 1A03 or MATH 1LS3 or MATH 1X03 or MATH 1ZA3
MATH 1XX3,Calculus for Math and Stats II,0.5,"For students in mathematics/statistics. Additional techniques of integration, applications of definite integrals, differential equations, polar coordinates, parametrized curves. Sequences, infinite series, power series. Partial derivatives, double integrals.",Prerequisite(s): MATH 1X03 and registration in Math and Stats I,"Antirequisite(s): ARTSSCI 1D06 A/B, MATH 1AA3, MATH 1LT3, 1NN3, MATH 1ZB3, 1ZZ5",MATH,1.0,R,MT,One of the following courses: MATH 1AA3 or MATH 1LT3 or MATH 1XX3 or MATH 1ZB3
MATH 1B03,Linear Algebra I,0.5,"Vector spaces given by solutions to linear systems. Linear independence, dimension. Determinants. Eigenvalues, eigenvectors and diagonalisation. Complex numbers.",Prerequisite(s): Grade 12 Calculus and Vectors U or MATH 1F03,Antirequisite(s): MATH 1ZC3,MATH,1.0,R,MT,One of the following courses: MATH 1B03 or MATH 1ZC3
NA,NA,0.5,NA,NA,NA,"COMP, MATH",1.0,E,CS,"Students must satisfy a Scientific Computing requirement, by completing one of: COMPSCI 1MD3, MATH 1MP3, PHYSICS 2G03. Students who entered the program prior to September 2017 may use one of MATH 2E03, MATH 2T03, MATH 3MB3, MATH 3Q03 or STATS 2MB3 to satisfy this requirement."
STATS 2D03,Introduction to Probability,0.5,"Combinatorics, independence, conditioning; Poisson-process; discrete and continuous distributions with statistical applications; expectation, transformations moment-generating functions joint, marginal and conditional distributions; covariance and correlation; central limit theorem.","Prerequisite(s): One of ARTSSCI 1D06 A/B, MATH 1AA3, 1LT3, 1NN3, 1XX3, 1ZB3, 1ZZ5 or ISCI 1A24 A/B",Not open to students with credit or registration in PSYCH 2RA3.,STAT,2.0,R,PT,NA
STATS 2MB3,Statistical Methods and Applications,0.5,"Estimation; sampling distributions; confidence intervals; hypothesis testing, power; linear regression; graphical and computational methods.",Prerequisite(s): STATS 2D03,Not open to students with credit or registration in ARTSSCI 2R03 or PNB 3XE3.,STAT,2.0,R,"ST, SM",NA
MATH 2C03,Introduction to Differential Equations,0.5,First order ordinary differential equations and higher order linear ordinary differential equations including Laplace transforms and series solutions.,"Prerequisite(s): One of MATH 1AA3, 1LT3, 1NN3, 1XX3, 1ZB3, ARTSSCI 1D06 A/B, ISCI 1A24 A/B; and one of MATH 1B03, 1ZC3","Antirequisite(s): ENGINEER 2Z03, MATH 2M03, 2M06, 2P04, 2Z03",MATH,2.0,R,MT,NA
MATH 2R03,Linear Algebra II,0.5,"Abstract vector spaces. Linear transformations. Inner product spaces. Spectral theorems. Orthogonal bases, other topics.","Prerequisite(s): One of MATH 1AA3, 1LT3, 1NN3, 1XX3, 1ZB3, ARTSSCI 1D06 A/B, ISCI 1A24 A/B; and one of MATH 1B03, 1ZC3, 1ZZ5",None,MATH,2.0,R,MT,NA
MATH 2X03,Advanced Calculus I,0.5,"Multiple integration, line and surface integrals and applications. The classical integration theorems of Green, Gauss and Stokes.","Prerequisite(s): One of MATH 1AA3, 1LT3, 1XX3, 1ZB3, 1ZZ5, ARTSSCI 1D06 A/B, ISCI 1A24 A/B; and credit or registration in one of MATH 1B03, 1ZC3","Not open to students with credit or registration in ISCI 2A18 A/B. Not open to students with credit in MATH 2A03, 2M06, 2MM3, 2Q04, 2ZZ3.",MATH,2.0,R,MT,NA
MATH 2XX3,Advanced Calculus II,0.5,"Theory of functions of several variables: limits, continuity, differentiability, Inverse Function Theorem, Taylor’s Theorem. Extreme values, optimization, introduction to Fourier series.",Prerequisite(s): MATH 2X03; or credit or registration in ISCI 2A18 A/B,None,MATH,2.0,R,MT,NA
MATH 3A03,Intruction to Real Analysis,0.5,"Sequences of real numbers; supremum, continuity. Riemann integral, differentiation. Sequences and series of functions; uniform continuity and uniform convergence.",Prerequisite(s): Registration in a Level III or above of an Honours program in Mathematics and Statistics; or permission of the instructor,None,MATH,3.0,R,MT,NA
MATH 3X03,Complex Analysis I,0.5,"Analytic functions, Cauchy’s theorem, Cauchy’s integral formula, residues, zeroes of analytic functions; Laurent series, the maximum principle.",Prerequisite(s): MATH 2R03 and 2XX3,None,MATH,3.0,R,MT,NA
STATS 3A03,Applied Regression Analysis with SAS,0.5,Introduction to SAS; linear regression model; least squares method; model fitting and diagnostics; influential analysis; model building; one-way and two-way ANOVA; applications.,Prerequisite(s): ARTSSCI 2R03 or STATS 2MB3,Antirequisite(s): STATS 4B03,STAT,3.0,R,"SM, SP",NA
STATS 3D03,Mathematical Statistics,0.5,Multivariate distributions; distributions related to normal inference; point estimation; sampling distributions; consistency and limiting distributions; interval estimation; hypothesis testing; single parameter maximum likelihood methods; Rao-Cramer Lower Bound and Efficiency.,"Prerequisite(s): STATS 2D03 and one of ISCI 2A18 A/B, MATH 2A03, 2L03, 2Q04, 2X03, 2ZZ3",None,STAT,3.0,R,ST,NA
NA,NA,0.5,NA,NA,NA,STAT,3.0,E,SM,"One from: STATS 3F03, STATS 3S03, or STATS 3U03"
